model,year,price,transmission,fuelType,Make
 Q3,2016,18495,2,Diesel,audi
 A6,2019,33490,4,Diesel,audi
 Q5,2014,19995,2,Diesel,audi
 Q3,2015,17995,2,Petrol,audi
 Q7,2015,31995,4,Diesel,audi
 Q2,2019,23995,2,Diesel,audi
 A3,2019,20995,2,Diesel,audi
 Q3,2017,24995,4,Petrol,audi
 A4,2015,14995,4,Diesel,audi
 A3,2015,12490,4,Petrol,audi
 A3,2017,14298,2,Petrol,audi
 A1,2016,11498,2,Petrol,audi
 A5,2014,11998,2,Diesel,audi
 Q3,2017,19998,2,Petrol,audi
 Q5,2017,27995,4,Diesel,audi
 Q3,2016,19995,2,Diesel,audi
 A6,2019,29995,4,Diesel,audi
 A3,2019,19990,4,Diesel,audi
 A1,2018,14995,2,Petrol,audi
 A3,2017,36990,4,Petrol,audi
 TT,2016,24995,4,Petrol,audi
 A3,2013,11490,2,Petrol,audi
 A3,2017,18495,2,Petrol,audi
 Q7,2019,46990,4,Diesel,audi
 A3,2019,23995,4,Diesel,audi
 Q5,2019,36990,4,Diesel,audi
 Q3,2017,18995,4,Petrol,audi
 A4,2013,12990,2,Diesel,audi
 Q5,2015,17995,4,Diesel,audi
 A5,2016,16498,4,Diesel,audi
 Q5,2019,36995,4,Diesel,audi
 RS6,2017,57995,4,Petrol,audi
 Q2,2018,22890,4,Diesel,audi
 A6,2015,16995,4,Diesel,audi
 A6,2019,33298,4,Diesel,audi
 A3,2017,15995,2,Petrol,audi
 A4,2017,20995,4,Diesel,audi
 A3,2013,14995,4,Petrol,audi
 TT,2018,39995,4,Petrol,audi
 Q2,2017,22995,4,Petrol,audi
 A5,2017,24995,4,Diesel,audi
 A8,2019,39995,4,Petrol,audi
 Q3,2015,19995,4,Petrol,audi
 A1,2015,12995,2,Petrol,audi
 Q2,2019,22663,2,Diesel,audi
 Q2,2019,24368,2,Diesel,audi
 A4,2017,19495,4,Diesel,audi
 Q2,2018,19990,2,Petrol,audi
 Q2,2018,21495,2,Petrol,audi
 A3,2018,28995,4,Petrol,audi
 A3,2018,26990,4,Petrol,audi
 Q5,2018,27995,4,Diesel,audi
 Q5,2017,25995,4,Diesel,audi
 Q2,2017,19995,2,Petrol,audi
 A4,2020,38534,4,Diesel,audi
 A7,2019,41995,4,Diesel,audi
 A3,2019,18495,2,Petrol,audi
 Q5,2016,33995,4,Diesel,audi
 Q2,2017,18995,2,Diesel,audi
 A5,2019,30709,4,Petrol,audi
 Q7,2019,48136,4,Diesel,audi
 Q2,2019,24365,2,Diesel,audi
 A6,2019,33295,4,Diesel,audi
 A1,2015,13995,2,Petrol,audi
 A8,2017,28995,4,Diesel,audi
 Q3,2017,16490,2,Diesel,audi
 Q7,2017,35995,4,Diesel,audi
 Q5,2015,21995,4,Diesel,audi
 Q3,2016,21995,4,Diesel,audi
 Q3,2017,22995,2,Diesel,audi
 A3,2018,18990,2,Petrol,audi
 A8,2018,40990,4,Petrol,audi
 A3,2019,23995,2,Diesel,audi
 Q5,2019,37995,4,Diesel,audi
 A6,2019,33410,4,Diesel,audi
 Q2,2019,22997,2,Petrol,audi
 A3,2015,14995,2,Petrol,audi
 A1,2015,11995,2,Petrol,audi
 A5,2019,27990,4,Diesel,audi
 A6,2019,29990,4,Diesel,audi
 A3,2019,23377,2,Petrol,audi
 A3,2017,25995,2,Petrol,audi
 A3,2017,18995,4,Petrol,audi
 Q3,2017,20995,4,Petrol,audi
 A4,2018,23995,4,Petrol,audi
 A1,2018,14495,2,Petrol,audi
 A4,2019,26490,4,Diesel,audi
 A5,2019,34259,2,Petrol,audi
 A5,2019,35131,2,Petrol,audi
 Q7,2019,50414,4,Diesel,audi
 A5,2016,16995,2,Diesel,audi
 A1,2016,14995,2,Petrol,audi
 A6,2019,30990,4,Diesel,audi
 A3,2019,18490,2,Petrol,audi
 A4,2019,26490,4,Petrol,audi
 RS5,2019,59995,4,Petrol,audi
 Q2,2019,24995,2,Petrol,audi
 A4,2016,17495,4,Diesel,audi
 RS5,2019,58995,4,Petrol,audi
 A6,2019,33640,4,Diesel,audi
 A6,2019,53939,4,Diesel,audi
 A5,2019,30719,4,Petrol,audi
 A5,2019,30197,4,Petrol,audi
 A5,2019,27022,4,Petrol,audi
 A4,2019,37560,4,Diesel,audi
 Q7,2019,49990,4,Diesel,audi
 A1,2017,14995,2,Petrol,audi
 Q5,2016,24490,4,Diesel,audi
 A3,2016,13995,2,Diesel,audi
 A6,2016,19495,4,Diesel,audi
 Q2,2017,17995,2,Petrol,audi
 A4,2016,19995,4,Diesel,audi
 A5,2019,30728,4,Diesel,audi
 A5,2015,18995,4,Diesel,audi
 A7,2015,18495,4,Diesel,audi
 Q5,2016,34995,4,Diesel,audi
 A3,2017,19995,2,Diesel,audi
 A1,2016,13495,2,Petrol,audi
 TT,2016,16995,2,Diesel,audi
 A1,2014,13995,4,Petrol,audi
 Q3,2018,25995,4,Petrol,audi
 Q2,2019,25995,2,Petrol,audi
 A1,2016,10995,2,Diesel,audi
 Q8,2019,48995,4,Diesel,audi
 A1,2015,12298,2,Petrol,audi
 Q3,2016,15998,2,Diesel,audi
 Q2,2018,18998,2,Diesel,audi
 Q2,2017,21995,2,Petrol,audi
 Q5,2016,28995,4,Diesel,audi
 A1,2017,15995,2,Petrol,audi
 A4,2016,13985,2,Diesel,audi
 Q3,2015,13995,2,Diesel,audi
 Q3,2016,18499,4,Diesel,audi
 Q5,2017,27498,4,Petrol,audi
 Q3,2015,15998,4,Petrol,audi
 A4,2016,13998,2,Diesel,audi
 A3,2019,24998,4,Petrol,audi
 A1,2016,13995,2,Petrol,audi
 A3,2018,18995,2,Diesel,audi
 A6,2017,22995,4,Diesel,audi
 Q2,2018,17495,2,Petrol,audi
 Q2,2017,21995,4,Petrol,audi
 Q5,2017,22995,4,Diesel,audi
 Q5,2014,19995,4,Diesel,audi
 A1,2016,15495,2,Petrol,audi
 Q2,2019,25998,4,Diesel,audi
 A5,2015,14500,4,Diesel,audi
 A5,2015,18995,2,Diesel,audi
 RS3,2018,39995,4,Petrol,audi
 A4,2015,17995,4,Diesel,audi
 A4,2017,21995,4,Diesel,audi
 A4,2016,19995,4,Petrol,audi
 A3,2019,31795,4,Petrol,audi
 A4,2019,39995,4,Diesel,audi
 Q7,2016,48995,1,Diesel,audi
 A3,2018,21495,2,Diesel,audi
 A3,2016,13498,2,Petrol,audi
 A3,2016,14998,2,Petrol,audi
 A4,2017,16998,2,Petrol,audi
 TT,2016,15498,2,Diesel,audi
 A4,2017,13985,4,Diesel,audi
 A3,2015,10385,2,Diesel,audi
 Q5,2018,37500,4,Petrol,audi
 A4,2016,11500,2,Diesel,audi
 A8,2017,24500,4,Diesel,audi
 Q5,2015,21500,4,Diesel,audi
 Q5,2014,16000,2,Diesel,audi
 A6,2013,11995,4,Diesel,audi
 Q5,2018,38900,4,Petrol,audi
 A5,2019,24498,4,Petrol,audi
 Q2,2016,19995,2,Petrol,audi
 A3,2015,14995,4,Petrol,audi
 Q5,2018,29995,4,Diesel,audi
 A1,2019,23995,2,Petrol,audi
 A7,2018,38995,4,Diesel,audi
 A3,2017,18995,2,Diesel,audi
 A7,2018,35995,4,Petrol,audi
 A3,2019,18995,4,Petrol,audi
 Q5,2018,34995,1,Diesel,audi
 Q2,2019,23995,1,Diesel,audi
 A4,2019,37995,1,Diesel,audi
 Q3,2019,35995,2,Diesel,audi
 A6,2019,34995,1,Diesel,audi
 Q2,2019,26495,2,Petrol,audi
 Q5,2016,21995,4,Diesel,audi
 A8,2020,52995,4,Diesel,audi
 RS4,2020,69995,4,Petrol,audi
 A7,2020,51995,4,Diesel,audi
 A4,2016,21995,4,Diesel,audi
 A3,2018,22995,1,Petrol,audi
 A5,2017,19945,4,Diesel,audi
 A5,2017,22945,4,Diesel,audi
 A5,2017,22990,4,Diesel,audi
 A4,2016,13995,2,Diesel,audi
 Q7,2018,60995,1,Diesel,audi
 A8,2017,38995,1,Diesel,audi
 Q5,2018,42995,1,Petrol,audi
 Q5,2018,28995,1,Diesel,audi
 Q3,2019,34995,4,Petrol,audi
 Q5,2019,38495,4,Diesel,audi
 A4,2019,43495,1,Diesel,audi
 A5,2019,34995,1,Diesel,audi
 Q5,2017,35995,4,Petrol,audi
 Q2,2017,21495,2,Petrol,audi
 Q5,2019,36995,1,Diesel,audi
 A3,2019,22995,1,Petrol,audi
 A3,2016,11990,2,Diesel,audi
 Q3,2016,19498,2,Diesel,audi
 A1,2015,10698,2,Petrol,audi
 A1,2014,11998,2,Petrol,audi
 A6,2016,22500,4,Diesel,audi
 Q5,2019,35995,1,Diesel,audi
 TT,2016,17995,2,Petrol,audi
 A4,2018,28995,4,Diesel,audi
 A4,2017,22995,4,Diesel,audi
 Q3,2017,17995,2,Petrol,audi
 A4,2019,25995,2,Petrol,audi
 A4,2016,24495,1,Petrol,audi
 Q3,2019,38995,4,Petrol,audi
 A3,2019,19995,2,Petrol,audi
 A6,2019,42995,1,Diesel,audi
 A5,2019,36995,1,Diesel,audi
 A4,2019,29995,1,Diesel,audi
 Q3,2016,20495,4,Diesel,audi
 Q5,2019,34995,1,Diesel,audi
 A3,2019,19495,2,Petrol,audi
 Q7,2017,49995,1,Diesel,audi
 A4,2020,29995,4,Petrol,audi
 RS4,2019,52995,4,Diesel,audi
 Q2,2019,28995,4,Petrol,audi
 Q7,2016,33995,4,Diesel,audi
 A5,2016,18995,2,Diesel,audi
 Q2,2017,15995,2,Petrol,audi
 Q7,2017,52995,4,Diesel,audi
 Q2,2017,19995,1,Diesel,audi
 A4,2017,17298,2,Petrol,audi
 A4,2016,15998,2,Petrol,audi
 TT,2015,16498,2,Petrol,audi
 A6,2019,25998,4,Diesel,audi
 Q8,2019,83995,4,Diesel,audi
 A1,2019,19995,2,Petrol,audi
